DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
04-Jun-2026,EQ,"2,241.70","2,253.10","2,216.60","2,241.70","2,243.00","2,241.00","2,236.45","3,538.00","2,206.40","48,67,263","10,88,54,12,981.10","1,56,136"
03-Jun-2026,EQ,"2,393.00","2,393.00","2,224.80","2,446.90","2,245.00","2,241.70","2,267.78","3,538.00","2,206.40","1,56,60,062","35,51,36,38,076.70","5,02,630"
02-Jun-2026,EQ,"2,320.00","2,457.40","2,316.20","2,297.40","2,451.10","2,446.90","2,419.08","3,538.00","2,206.40","1,13,06,127","27,35,04,73,864.60","3,66,391"
01-Jun-2026,EQ,"2,284.00","2,335.00","2,280.00","2,258.90","2,296.40","2,297.40","2,300.81","3,538.00","2,206.40","75,05,095","17,26,77,97,717.50","1,54,067"
29-May-2026,EQ,"2,291.00","2,334.00","2,235.00","2,284.20","2,256.00","2,258.90","2,271.96","3,545.00","2,206.40","1,63,31,582","37,10,46,29,642.30","2,31,376"
27-May-2026,EQ,"2,275.00","2,295.60","2,260.90","2,276.20","2,289.90","2,284.20","2,276.47","3,545.00","2,206.40","26,53,950","6,04,16,27,688.20","1,23,480"
26-May-2026,EQ,"2,308.20","2,327.90","2,272.40","2,308.20","2,281.40","2,276.20","2,289.98","3,545.00","2,206.40","35,87,597","8,21,55,34,119.50","1,30,719"
25-May-2026,EQ,"2,325.00","2,326.10","2,293.00","2,317.30","2,307.40","2,308.20","2,310.30","3,545.00","2,206.40","32,98,364","7,62,02,24,109.50","75,809"
22-May-2026,EQ,"2,331.10","2,340.00","2,308.10","2,327.20","2,317.90","2,317.30","2,323.55","3,558.00","2,206.40","26,17,262","6,08,13,46,029.20","87,846"
21-May-2026,EQ,"2,331.00","2,335.90","2,314.00","2,327.40","2,325.40","2,327.20","2,324.25","3,558.00","2,206.40","32,99,087","7,66,79,13,393.70","1,06,203"
20-May-2026,EQ,"2,323.90","2,342.00","2,317.80","2,327.10","2,324.10","2,327.40","2,332.61","3,558.00","2,206.40","25,37,422","5,91,88,03,274.80","98,920"
19-May-2026,EQ,"2,300.00","2,377.60","2,297.10","2,283.20","2,330.00","2,327.10","2,347.34","3,558.00","2,206.40","1,03,94,707","24,39,98,67,016.00","2,36,124"
18-May-2026,EQ,"2,264.00","2,292.90","2,252.20","2,264.00","2,289.90","2,283.20","2,277.12","3,558.00","2,206.40","37,73,336","8,59,23,31,857.60","1,18,965"
15-May-2026,EQ,"2,252.00","2,304.90","2,252.00","2,246.00","2,267.00","2,264.00","2,280.06","3,630.50","2,206.40","34,10,637","7,77,64,69,684.80","1,35,890"
14-May-2026,EQ,"2,265.00","2,265.00","2,206.40","2,272.80","2,249.90","2,246.00","2,236.83","3,630.50","2,206.40","56,33,313","12,60,07,36,362.00","2,41,132"
13-May-2026,EQ,"2,306.00","2,309.20","2,269.00","2,300.30","2,274.00","2,272.80","2,285.14","3,630.50","2,269.00","31,71,843","7,24,80,98,371.80","1,69,055"
12-May-2026,EQ,"2,375.00","2,375.00","2,283.00","2,392.90","2,303.50","2,300.30","2,302.30","3,630.50","2,283.00","63,47,884","14,61,47,16,645.60","3,58,785"
11-May-2026,EQ,"2,371.00","2,415.00","2,371.00","2,394.40","2,400.00","2,392.90","2,397.63","3,630.50","2,346.20","19,75,188","4,73,57,75,184.10","1,16,550"
08-May-2026,EQ,"2,398.00","2,407.00","2,375.10","2,401.40","2,397.20","2,394.40","2,387.75","3,630.50","2,346.20","37,92,199","9,05,48,24,056.00","1,84,241"
07-May-2026,EQ,"2,438.20","2,439.70","2,398.00","2,435.40","2,403.00","2,401.40","2,408.44","3,630.50","2,346.20","58,29,594","14,04,02,48,979.00","1,67,098"
06-May-2026,EQ,"2,441.90","2,471.00","2,406.50","2,427.30","2,435.00","2,435.40","2,433.81","3,630.50","2,346.20","31,47,628","7,66,07,43,017.80","1,30,239"
05-May-2026,EQ,"2,430.00","2,460.40","2,412.20","2,431.30","2,429.80","2,427.30","2,432.41","3,630.50","2,346.20","33,85,720","8,23,54,52,650.20","1,34,489"
04-May-2026,EQ,"2,494.00","2,498.30","2,425.00","2,473.90","2,430.00","2,431.30","2,444.12","3,630.50","2,346.20","26,32,358","6,43,37,88,855.30","1,45,629"
30-Apr-2026,EQ,"2,479.00","2,491.00","2,438.00","2,474.70","2,474.80","2,473.90","2,470.47","3,630.50","2,346.20","39,70,446","9,80,88,81,103.10","1,75,405"
29-Apr-2026,EQ,"2,451.00","2,487.90","2,447.60","2,444.70","2,465.00","2,474.70","2,473.75","3,630.50","2,346.20","28,35,961","7,01,54,68,503.50","1,45,414"
